text,label
Много спама,1
Все,0
Быстро,3
"Попробовал,понравилось.Больше года пользуюсь",3
скорость,0
"Солько лет, столько денег уже влили, а так и осталось помойкой. Одни проблемы, плеер глючит и зависает картинка, не сохраняется просмотр на разных устройствах. Коменты уж лучше вообще удалить чем такие убогие. Лучше с ВПН лагать на Ютубе, чем в помойке на Рутубе.",1
"Постоянно виснет.особенно после каждого нового обновления.разработчики ,что Вы там постоянно улучшаете или пытаетесь улучшить.приложение как работало нестабильно так и вовсе не работает.сношу... пишет нет соединения (работает через WiFi соединение более чем стабильное и высокая скорость передачи данных,vpn не использую)",1
все,0
"Можно выключить экран и слушать звук из видео! Любое видео можно смотреть поверх других приложений и на трети экрана! Тактильные ощущения от перемотки по тегам в видео - супер! Фильтр по подпискам очень нравится. Теперь предпочитаю здесь видео смотреть, если есть. Из недостатков: пока слабый поиск и рекомендательная система.",3
нет ничего,1
все,0
"Отценить не получается,так как в Эстонии не работает",1
"Было бы неплохо добавить возможность формирования плейлистов из видео других авторов. Хотя главная беда - приложение на телевизоре. Вечные вылеты из аккаунта, и невозможность посмотреть историю просмотра отбивает всякое желание пользоваться приложением на телевизоре.",1
ок,2
Redmi Pad не работает приложение пустой фон нечего нету как так?.,1
хорошее приложение!,3
"Классное и качество на высшем уровне, можно свернув окно смотреть видео, очень удобно.",3
Great Bro!!,0
"Всё норм, только сделайте чтобы можно было восстановить аккаунт!",2
Херня полная,1
"Замечательный выпуск!
Юлия Мардарьевна , спасибо за рецепт картошечки по деревенски. 
Спасибо, что поддерживаете фонд Слепоглухих!
Была на днях на музыкальном квартирнике, познакомилась с людьми, которые в нем работают. Это замечательные, отзывчивые и доброжелательные люди с огромным сердцем!  Несмотря на то, что там живут люди с ограниченными возможностями, там замечательная , теплая аура создается. ",0
Бомба просто супер ✊,3
предмет,0
Ге то ищет,0
vseo,0
"Такой профиль есть, войти? Да. Обратно кидает на регистрацию. Дебилизм!",1
Очень долго выкладывается ролик,1
видео глючит и не работает,1
Дмитрий Никотин ! Из-за тебя я тут !,0
Непонятно!!! смотрю статистику и вижу что вознаграждения не начисляются с сентября месяца! как? хотя за последний месяц ноябрь было более 1500 просмотров. Короче статистика и начисления остановились в сентябре. Что там выходные начялись новогодние????,1
"Сделанная платформа тяп-ляп и так сойдёт, и прикрываться фразой, делаем своё, не айс. Очень удобно. Вы сами видите свой примитив и знаете что нужно сделать. А зачем, и так сойдёт. Плейлист пустышка. Чтоб на каждого подписаться надо проделать кучу манипуляций. В общем сплошное недоразумение.",1
"Столько косяков, что времени жалко перечислять.",1
"Приложение стало на него лучше чем два года назад , но так и нет скачивание видео , это очень удобная функция если нет интернета , планируется ли ее ввести ?",2
Автоисправление и дополнения добавить можно,1
достала ошибка с подключением...,1
"Отклоняют видео просто так, без объяснений. Причем этот же ролик на ютуб залил без проблем, а с рутюб проблемы. ",1
:(,1
"Здравствуйте! Уважаемые разработчики, добавьте пожалуйста в настройки приложения возможность управлять функцией "" картинка в картинке "". Да, можно её отключить через системные настройки андроида, но в таком случае при сворачивании приложения некоторое время оно отображается в режиме картинки и только потом переходит в фоновый режим, что выглядит как-то нелепо. В прочих приложениях всё работает исправно при отключении, а у вас...👆 Благодарю за внимание!",1
Отличная платформа,3
Слишком много раз приходится кликать для перемещения. В Ютубе более оптимизировано. При проигрывании сильно мешает автоматическое начало проигрывание при перемотке.,1
+,0
"Сделайте смену номера в настройках, не можете нормально допилить приложение ?",1
Здравствуйте. Почему так долго проходит модерацию по 40 -60 минут? Есть видео которые я загружаю по 3 - 4 раза ? Почему с первого раза не проходит модерацию? Это у всех так или только мои видео так проходят модерацию?,1
Звук,0
"Растёт Рутуб, спасибо.",3
Хорошее приложение,3
"Я не понимаю, для чего я должен каждый раз вводить какие-то коды? Проще нельзя сделать? ",1
Не могу найти что мне надо,1
👍,3
"Рекламы больше в 7 раз, чем на Ютубе. Удаляю.",1
Название,0
"Просто кусок Г-на, настроек нет, те что есть не работают. Бесячая реклама каналов. Продвижение бестолковых блогеров. Не скачал полезное, а вступил в г-но...снёс через 4 минуты.",1
повысить число  одновременно загружаемых видео,1
Nice video,0
битва сильнейших и битва эксторосенсов,0
Отлично всё. ,3
"Ну да что и требовалось ожидать. Ребят, как так случилось что с приложения нельзя вывести на телик с помощью одной кнопки, как на ютуб? Какие то коды для коннекта...И кстати они не работают! На телевизоре вообще всё висит. Разработчикам гореть за это позорище, даже с готового приложения как ютуб вы слизать не можете! Я сделала как вы написали в отзыве. Нет у меня там никакого ""выберите устройство""",1
"Не даёт загружать видео, выдаёт моментально ошибку",1
Качество видео,2
КРУТОЙ ,3
все,0
Поисковик,0
Кирилл ,0
монетизация,0
Каждое утро приходится заново заходить в учетную запись.,1
"Интернет у меня хороший,и то и то сделал,но,он все равно очень долго грузит",1
"После санкций и блокировок ряд шоу перекочевали сюда из YouTube. Приложение часто тормозит, видео лагает. Но это полбеды. Когда включается реклама, звук становится в 10 раз сильнее. Это очень громко, соседи наверно подскакивают каждый раз, когда включается реклама. Это при том, что недавно вышел законопроект, который запрещает делать очень громкую рекламу. Пожалуйста, исправьте это, мне кажется тот, кто это сделал, настоящий садист! Хочется, чтобы ему орали им уши изо всех сил, чтобы они поняли, каково терпеть этот ужас!",1
скорость,0
"Не работает подключение к телевизору
",1
Кампот я Катя я тебя абажаю я в 1классе,0
"Всё
",0
Всё...,0
Все отлично 👍 ,3
Всё,0
гуд,3
"Добрый вечер. На Apple TV после постановки видео на пауза, видео начинает самовоспроизведение через несколько секунд. Исправьте пожалуйста этот баг.",1
👍🏻👍🏻👍🏻🤌🏽🤌🏽🤌🏽🤌🏽,3
Все быстро и понятно,3
"Дизай плохой как будто создалег человек с не понятным ориентации или создан для женского пола, какой-то не понятный цветамы розовыми",1
все хорошо,3
Пока не знаю,2
Работу интернета,2
"Спасибо! Что понравилось больше всего
",3
Приложение хрроше за время использования не нашел багов и т.д,3
🤗🤗🤗,0
"хорошее приложение, все понравилось. Удобно как на компьютере так и на телефоне. Можно смотреть видео на экране телефона вне приложении. Неплохо было бы еще добавить мобильную версию для создания плейлистов. А так все радует",2
"Приложение действительно хорошее, работа в фоновом режиме это просто отлично, работа каналов которые были заблокированы на ютуб из-за не выгодной им правды. Единственный минус смс с кодом регистрации почему то не приходит возможно из-за того что я проживаю не на территории РФ.",2
нет просмотров ,1
ok,2
Скорость,0
удачи,3
Проще надо объяснять,1
Скорость интернета 200-250 МБ в видео даже в 720р не грузит однозначный -,1
"накрутили рейтинг, помню когда у вас рейтинг был 1/5 как не стыдно айай?",1
Всё ,0
"Всегда есть, то что я ищу",3
Все сезоны передач ,2
👏🥳👑🌟,3
ВСЕ ОК,2
очень много рекламы,1
"Давно перешла на RUTUBE, и мне очень нравится это приложение. Качество видео на высоте, не глючит и не лагает. По своим интересам можно подобрать любое видео.",3
"Постоянно вылетает из аккаунта, при просмотре часты появляются ошибки, некоторые видео вообще не воспроизводятся, при нестабильном соединении видео начинается с начала.",1
уважаемые разработчики Пожалуйста скажите Почему приложение всё время зависает и вылетает тв нероботоет и добавить голосовой поиск,1
Почему вылетает с аккаунта. Приходится перезаходить.,1
быстро без ожидания,3
уведомления не приходят при стримах. не всегда можно перемотать если стрим еще идет.,1
"КОНТОРА МАТЧ ТВ НЕ СВОЕВРЕМЕННО ДОБАВЛЯЕТ ОБЗОР НА ЧЕМПИОНАТ ГЕРМАНИИ, Я ТОЛЬКО ЭТОТ РУТУБ СМОТРЮ РАДИ БУНДЕСЛИГИ",1
Убрать рекламу,1
легкость,3
"Очень хорошее приложение, всем советую!",3
"Уважаемые разработчики, сделайте пожалуйста,чтобы при просмотре в безпроводных наушниках,если вдруг наушник сел или вылетел из уха,-видео становилось на паузу.А то в общественных местах(например в поезде)Рутюб переключается на динамики и мешает окружающим.А так RUTUBE стал заметно лучше ,чем раньше.Еще если сделаете кнопку скачать,тогда многие откажутся от подписи ютюба и подпишутся на RUTUBE.",1
Доступность,0
"виснит
",1
Все отлично!,3
интерфейс,0
"Прекрасное приложение, мне очень понравился интерфейс.",3
Мне не нравится потому что я не смогла посмотреть нормально битву сильнейших ,1
Воспроизведение видео на телевизоре,2
Добавьте историю просмотров,1
"Уже ставлю3 твëрдых балла!!! Уже лучше, видео показывают, не глючит. Но поиск его туповат. Ставлю твëрдую тройку по международному стандарту. Хотя бы смотреть можно. Хоть как то и это уже лучше. Мы растут.",2
5\5,3
поисковая ротация,2
все ок,2
Понравилось все!,3
"Здравствуйте! Приложение постоянно выходит из аккаунта. Вход в Андроид ТВ целые танцы с бубном, почему надо ввести 6 цифр за 10 секунд если даже на банковские операции даётся 30 секунд? Сделайте тогда 3 секунды чтобы уж точно никто не вошёл. Поставлю 5 звёзд если это устранят!",1
"Зависает видео а звук идёт дальше. Нужно промотать немного или паузу и поей нажать, чтобы картинка обновилась. Телефон redmi 9, 4, 64. Исправьте пожалуйста, отзыв изменю. А так, продолжайте разрабатывать приложение. Нужна альтернатива Ютубу, а то они ""зажрались"".",1
Хотелось бы зайти в приложение с smart tv,2
Отлично,3
"Не думала, что когда-нибудь это скажу, но я в восторге) особенно спасибо за функцию ""два окна"", когда при сворачивании приложения вылетает мини окошко с видео! Единственное, добавила бы возможность редактирования комментариев",3
"Нет нормальной буферизации видео. На  улице или в машине, если нестабильно работает мобильный интернет, то видео зависает и просит перезагрузить окно, в основном происходит, когда приложение свёрнуто.",1
Текст не должен быть мелким шрифтом,1
Скорость,0
"ни чего не грузит
",1
В последнее время ситуация исправилась. На тв тормозов не наблюдаю. Из хотелок: добавьте в тв: 1 ракету 2 историю просмотров(библиотеку) 3 выбор аккаунтов 4 ускорение перемотки ( ну серьёзно перематывать на одной скорости видео в 3часа это норм?) 5 функцию продолжить просмотр с того места где вышел из ролика 6 функцию запуска по таймкодам 7 ну и функцию включить на тв из приложения было бы не плохо,2
Всё,0
Отлично,3
"У меня уже более полутора недели проблема с газорезкой видео, и тех поддержка очень долго её решает.",1
"Хорошее наше приложение. За ним будущее. Не хуже ничем аналога, а даже лучше.",3
Тупой и не понятный приложение,1
Просто и удобно,3
"Отвратительная тех. поддержка. Постоянно вылетает аккаунт на смарт тв. Перезахожу уже каждый день в учётную запись. Обращался в поддержку где только можно (и на почту тоже). Напишут, что заявку приняли и никакого эффекта! 
Единственную звезду можно поставить лишь за то, что можно (пока что) просматривать видео в отдельном экране без подписки, либо включать только аудио. 
В остальном, ютуб в разы лучше. Хотя бы не виснет при малейшем ухудшении интернета, а рутуб и в «тепличных» условиях с 300 м/бит домашнего работает с зависаниями…",1
Не могу войти в акк на пс4,1
(((,0
Почему всегда вылетает акаунт,1
скорость и простота,3
"В последнее время стало значительно лучше! Отличная альтернатива YT! Есть куда расти, молодцы! Добавьте пож-та дизлайк)",3
просто надо взять все лучшее с других видиохостингов ютюб например.,1
"Приложение хорошее, но нет двойной защиты канала. К тому же нет кнопки ""не рекомендовать видео с этого канала"". Добавлю то, что крайне долго загружается видео. В общем всем советую, но быть осторожнее, так как всë же платформа не защищена так хорошо, как можно подумать. Всем удачи со своими каналами!",2
скорость ,0
Что правоаблодатели получают свои деньги.,0
"Скачал данное приложение уже прошло пол дня, не даёт код для регистрации.",1
не даёте нормально смотреть фильмы ,1
альтернатива гнилому ютубу,2
Легко и быстро!,3
Приложение хорошое чота похоже на Ютуб вобщем советую скачать,3
"Сайт
",0
"Очень хороший канал,рекомендовать буду всем кто связан со спортом",3
Здравствуйте разработчики я изучил рутубь получше и хочу передать извинение за не правильную оценку я не заметил что есть категорий по типу видеоигры лайфхаки и много вещей мне жаль что не все из них я обратил внимание от того и хочется изменить свою оценку единственное что напрягает это то что в некоторых функции ютуба нет в рутубь можете проверить в ютубе есть некоторые функции во время просмотра видео. Для меня это не важно надо учитывать что некоторые людям не привычно благодарю за внимание,2
"Быстро качественно


",3
 Отсутствует возможность  прокрутки передач в прямом эфире. Остальное отлично!,2
"Видео очень долго и резит , или может совсем не загружаться , постоянно пишет сбои , хотя интернет отлично работает , vpn выключен , отвратительное приложение",1
Не могу смотреть Каневского и ,1
Нет возможности удалять отдельные видео из истории просмотра.,1
"Разработчики молодцы ,стало гораздо удобнее .Оптимизация тоже радует",3
"Сделай, пожалуйста экран приветствия отключаемым. Очень раздражает пока эта ягодка свой танец оттанцует!
Ведь можно же дать приложение, когда оно готово к работе, а не после танца…",1
Все супер,3
"В ру туб предусмотрены субтитры, что очень хорошо! Но куда ни глянь везде или нет субтитров или недоступны. Было бы здорово установить ПО или функцию которая бы конвертировала голосовое воспроизведение в титры.",2
"Хотелось бы перейти на подробную статистику по определённому видео так, чтобы, например, отслеживать по суткам сколько оно набирает просмотров, а не целиком весь канал или же краткая статистика в разделе Аналитика=>Видео ",1
"В принцепе более менее. Есть конечно недостатки. Не переворачивается экран на другую сторону в полноэкранном режиме, даже при включённом повороте экрана. Нельзя удалить видео из просмотра, которое включилось по рекомендации и ты не успел остановить, чтобы оно не включилось. Нельзя увеличить размер окна, когда выходишь из приложения. Рекомендации в обще не понятно как подбираются, не соотносится с видео, которое смотрел. Если открываешь все видео профиля, нет сортировки по дате. Вылетает часто.",1
Speed,0
"Все классно, все нравиться ",3
вот как мне смотреть Россия 1 онлайн??? или почему Соловьев лайв прерывается когда закончилось одна из передач??,1
Очень длительное,1
качество видео,2
"Введение фонового воспроизведения и сворачивание в плавающее окно вывело сервис на новый уровень. Рад, что разработчики работают над продуктом. По сути, осталось добавить косметику: - в комментариях сделать возможность отвечать другим пользователям. - сделать рекомендации а главной странице на основе интересов пользователя (на основе ранее просмотренного)",2
опеенгеймер и сериалы,0
Здравствуйте. Скажите пожалуйста для Казахстана есть ограничения в просмотре многих видео?,2
Картинка бывает виснет. Не везде инет летает. И приложение работает. Хотя Ютюб показывает. Работайте братья!,1
Почему не показывают количество просмотров?,1
"Появление фонового режима, это огромный шаг вперед!!!!! Просто гигантскмй шаг вперед!!! Желаю продолжить и дальше развиваться!!! Просто заимствуйте у Ютуба и не парьтесь!!!",3
"Изминяю свой отзыв на положительный. Много сделали, но многое ещё предстоит. Удачи и пользователей побольше.",3
"Удобное приложение, загрузка видео отличное, без зависания",3
Говно для имбецилов.,1
Ваще топово,3
ЗомбоТВ не более того... Убрать нежелательный контент нет никакой невозможности.. Удалить из рекомендаций предлогаемую к просмотру помойку невозможно !!! один в один как ТВ.. Если и захожу в эту площадки то строго на просмотр пару роликов..,1
"Простота
Быстрота
Элегантность",3
"Почему недоступен весь контент с ютуба
",1
"Слетает авторизация по-прежнему, год не могут решить проблему",1
убогий поиск и постоянно выбивает из профиля,1
Бесплатные просмотры фильмов сериалов и мультфильмов!!! ,3
"Все более менее нормально. Но есть куда расти. Наконец-то добавили лайки и дизлайки. Осталось добавить комментарии на комментарии. Проблемы, которые есть у меня:1) После окончания воспроизведения видео нет кнопки для выхода из полноэкранного режима, что бесит. 2)После окончания воспроизведения видео экран не гаснет, как это происходит в приложении Youtube. Samsung a32",1
Просмотр без рекламы ,2
"Нормально ли это? Приходиться вводить данные заново??
Добавьте поддержку таймкодов и плавность перемотки",1
Скорость,0
Все,0
"Сам видеоплеер, делайте на подобия vlc с таким же удобством",1
Ещё не готов ответить.,2
Хотя бы фильм загрузить,1
"четко, понятно, быстро",3
Сбивается загрузка,1
Очень плохо прогружаються видео 👎🏼,1
удобно стало,3
"Очень хотелось чтобы из подмню выплывающему после нажатия на колокольчик уведомлений, можно было  открывать видео в новом окне по клику средней кнопкой мыши, этого очень не хватает.",2
Хорошо,3
"Разнообразие и доступность к материалам. Супер просто! Легко и понятно
",3
"Хороший видеохостинг, удобно смотреть видео от своих любимых блогеров",3
cool,0
"может ответить ,что понравилгсь",0
больше песен,1
просто и удобно.класс,3
"оформление не очень 
",1
Не загружается видео ,1
Простота,3
Круто ,3
быстрота и четкость,3
Кульчицкий Александр Александроволь,0
"на телевизоре LG невозможно смотреть плейлисты. Видео тупо начинается с конца плейлиста. автоматическое воспроизведение так же перелистывает не в n+1 а наоборот n-1, Типо как ДОВОД смотрю) исправляйте
",1
Более обширный функционал не помешал бы ,2
2раз удалось ,0
Норм,2
Мои видео с ЮТУБ воруют!,1
"Только шоу но нет не одного фильма зарубежных стран , Ютуб лучший.",1
"рекомендации вообще не по теме, ужасная черная тема напрягает глаза, рекламы супер много",1
понравился заставка сайта. всё наглядно и удобно. мне 62 года. привет из удмуртии.,3
Не плохо,2
"Здравствуйте. Не приходят оповещения о новых видео, хотя колокол нажат. Ни в контекстном меню, ни в почту. Полгода назад всё приходило, сейчас нет. Poco X3 Pro",1
"Очень хорошее приложение!!! Скачала давно и пользуюсь каждый день!!! Я рада, спасибо!!!!",3
"Приложение неплохое, но пользоваться в полной мере им невозможно. Как не открою посмотреть обзоры футбольные матчей проходит небольшое количество времени и видео тупо не грузится дальше, потом пауза секунд на 10, пытаясь загрузить его ещё раз и выдаёт ошибку с предложением «перезагрузить». И это выдаёт постоянно. Пробовал смотреть с сайта - всё в порядке. Проблема именно с приложением. Иногда вообще видео не грузится изначально при его открытии. Ты ждёшь минуту, две, потом закрываешь приложение, открываешь по новой и повторении истории.",1
Где моя история просмотров?,2
"Если вы делаете обязательной рекламу, так хоть делайте ее работающей. Надоел уже черный экран, который не проходит и приходится по несколько раз перезагружать приложение. Пользуюсь этим приложением только ради одного канала, если бы не он то даже не скачивала бы.",1
Прекрасное видео про педагога,3
Все,0
Нет того что ищу,1
"Не хочу никого сглазить ,но надеюсь на дольнейшее развитие Рутьюб@ ,давно надо было развивать !!
Сделайте больше плюшек для пользователей ,аналог западных ютубовцЕв….",1
Ютуб лучше,1
"Отличное приложение, смотрю на телевизоре и на телефоне. Недавно начал пользоваться и смотреть разные ТВ каналы и видосы. Но почему когда смотришь что-нибудь на телефоне нельзя масштабировать размер видео?!?",3
нет блогеров политновостей,1
"Меняю отзыв на хороший если в будущем не измените приложение до поставлю ту оценку, которая стояла",2
Вообще не тянет,1
"с интернетом проблемы бывают, загрузка средняя, есть над чем работать)) в принципе мне нравится, есть  что посмотреть  и все бесплатно? в общем - больших успехов!?               ///   сегодня зашла и приятно удивлена, история просмотров и «просмотреть позже»  отлично, посмотрим как будет работать дальше ????",2
всё,0
"Приложение явно не заменит ютуб, пытался пользоваться хотябы месяц и то не получилось забросил на первой же неделе, это приложение не удобное",1
"В целом пока без серьезных проблем, кроме одной: приложению в принципе наплевать на то, что я в настройках отключил автовоспроизведение. Листаешь список с видео в канале или на стартовой странице, и каждое видео норовит воспроизвести. Мобильный трафик улетает на отличненько. Спасибо хоть, что по умолчанию звук выключен.",1
Протокол передачи видео,2
Быстро,3
"Совершенно недоработанное приложение. На айфоне зарегистрировалась, выкинил из аккаунта. На андройде работает только в одном положении (на весь экран), при просмотре чего-нибудь не реагирует не перемотку, вообще ни на что не реагирует. Для андройд скачивала приложение в Google Play.",1
Медлиная загрузка.,1
Отсутствие рекламы,3
Вы,0
беззвучная реклама,3
"Постоянно приходится заходить в аккаунт на телевизоре, потому что он вылетает, почему нельзя сделать нормально ?",1
Рецепт ,3
"Просто потрясающе, вылетела ошибка, выкинуло из аккаунта, так еще и подписки не восстановились, молодцы, держите марку.",1
скорость ,0
Пожалуй сниму одну звезду. Даже двух звёзд не достойны. Качество 360 не грузит видео в центре города 4g. Просто нет альтернативы. Давно бы удалил,1
"средняя кнопка мыши не открывает ссылки на видео и каналы, бесит капец.",1
элегантность,0
Убрать рекламу ,1
простота,3
"открываю раздел Подписки, а там НЕ ОТОБРАЖАЮТСЯ все вышедшие видео из моих подписок (уведомления включены)",1
"Быстро, просто",3
"НЕ могу найти как проголосовать за экстросенцев
",1
Я думал что это выпуск,0
"Хорошее приложение. Много интересных каналов, программ. Очень удобно в использовании.",3
"Больших проблем две:
1.  Вылетает авторизация, нужно логинится заново после каждого апдейта. 
2. Плеер забывает где остановился, если пропала связь. 
Из-за этих ошибок пользование вашим приложением превращается в стресс. 
Писать на почту багрепорты не буду, у вас эти задачи давно в бэклоге, займитесь уже",1
Все,0
выдает не ту информацю,1
"Как же хорошо, что есть такое приложение, а то на ютабах слушать очередной бред очередного проплаченного или просто дегенерата уже просто надоело.",3
все ок,2
"Мне очень нравится
",3
Быстро.,3
"Поиск
",0
"Постоянно грузит не возможно смотреть
",1
Ыыы,0
"Рутуб пожалуйста измените проблему с с чатом на стримах они плохо работают, а в целом хорошее приложение",2
"Это хорошо , что есть движение в сторону развития. Развивайтесь ещё быстрее.",3
все,0
"К сожалению ужасное приложение. Не возможно запускать трансляцию на ТВ. Отдельно установила на телевизоре - не работает поиск. Постоянно не грузится видео, если смотреть с телефона. Очень жаль, что некоторые шоу представлены теперь только на рутьюб и теперь я их просто не смогу посмотреть.",1
👍👍,3
Хз,2
Гораздо лучше западного аналога.,3
"НЕ МОГУ НАЙТИ ПРЯМОЙ ЭФИР РОССИЯ 1  И РОССИЯ 24  ПОЛНАЯ ХРЕНЬ 
ВЫЛАЗЯТ ТОЛЬКО ОГРЫЗКИ НЕПОНЯТНОГО ВИДЕО КОТОРОЕ И НА ХРЕН НИ КОМУ НЕ НУЖНО",1
"Хочется более удобный формат сайта, попроще что-ли... Выглядит как-то он не уютно.",1
Все,0
ужас не советую,1
"После обновления приложения, сбросился вход в аккаунт, экран стал горизонтальным как на телеке, тормозит при поиске видео, короче пользоваться невозможно стало.",1
Все просто,3
Всё ,0
"На смарт ТВ постоянно вылетает из аккаунта. А авторизовать через мобильное приложение нельзя, только через сайт. Очень неудобно",1
глючит на слабых компах,1
"даже не подозревал, что в 22 году могут быть настолько глючные программы, еще и на ios. наибольшие глюки при слабом интернете. есть же youtube - просто основные фичи скопируйте и будет людям счастье!",1
Да,0
"Хорошее. Всегда доступен, много интересного, рекомендую",3
"Пользуюсь не так давно, приятно удивлен воспроизведением видео в фоне, даже при заблокированом экране телефона. Очень удобно слушать подкасты) желаю команде удачи и развития, спасибо!",2
Очень часто зависает видео,1
"Пользуюсь вашим приложением для просмотра видео Стаса АйКакПросто. В принципе меня все устраивает, но хотелось бы увидеть обновление для комментариев, потому что пока это месиво из символов. Настройте, пожалуйста, диплинки, потому что по нажатию меня перекидывает на сайт, а не в приложение, а с сайта на страницу эп стора. И было бы неплохо, если бы вы ускорили анимации, а то на моем iPhone 11 они выглядят так, будто лагают.",1
удаляют ролики без причины с канала ixbt games по запросам романов ГОЛУБНИЧЬИХ Updated: вы имеете права класть болт на своих авторов. вы имеете право удовлетворять автоматом любые жалобы хрен знает от кого. вы имеете право давать подачки и после бучи ну так и быть включать контент. Мы имеем право смотреть контент на нормальных сервисах...,1
Класс,3
"Хорошо конечно работает, но не скачивается",3
Ddd,0
зарегистрировалась очень быстро,3
"Сделайте адекватную студию на телефон. Невозможно редактировать или изменять ролики без использования компьютера! Кнопки не кликабельны для телефона. Молчу про кривое расположение студии(захожу в студию через плажку статус официального канала, может есть нормальный вход, но я его не нашёл. Если вход в студию через телефон есть, выведите его нормально или сделайте отдельное приложение, как ютуб).",1
